x,y
1.37103e+06,0
649082,939035
-180221,558418
8951.89,80682.4
157262,294502
-141326,298613
-138508,13297.9
28343.9,9658.02
4004.07,38587.5
75500.5,-22488.8
160976,105244
22440.2,203959
-72114,101752
-30710.9,37258
-3595.75,26288.2
47607.4,41129.3
17788,140821
-138018,98393.3
-99632.9,-89721.3
79416.9,-50020
13364.4,104109
-135713,6691.7
-39547.7,-156714
127763,-100641
119829,47218.4
-6119.76,69559.2
-46913.1,-53756.3
84737.5,-116768
166493,11286.7
56350.4,86259.8
15736.1,-10472.7
110417,-13904.4
92603.2,71188.9
40261.1,38448.5
96785.4,26604.4
89024.2,103873
23498.2,100773
21725.5,87020.2
-30239.3,95608.2
-50838.1,-7260.57
84000,-19919.2
65894.4,139124
-114185,80948.4
-19785.9,-112726
175818,5828.61
50065.3,188047
-100954,67853.2
13398,-44169.6
102811,65633.8
16296,161997
-96941,134493
-146475,26632.5
-69846.7,-76757.5
44288.5,-28454.1
151.594,72019.8
-87610.4,20204.2
-39709.7,-55497.2
9703.22,-23773.9
-13157.7,-13091.8
4770.51,-45216.3
54216,-27333.9
62216,33043.2
-2283.19,77280.1
-83719.5,3270.47
13668,-120221
190862,5555.87
53723.1,239461
-210533,119800
-118912,-121453
54424.4,-34498
-59249,68776.5
-122396,-68811.8
-902.211,-108227
-2099.63,-35522.3
-33369.1,-93086.7
57374,-105122
41889.1,-24532.4
-18756.7,-100916
122346,-176562
240166,-23499.7
140176,108539
55523.7,75675.2
64418.9,71089.1
12628.5,106045
-63946.3,47317.5
-32064.8,-57963
87635.8,-61714.1
124077,67478.8
-13739.6,129860
-91682.3,-17236.1
67553.6,-101418
155412,68597.6
-12008.9,158936
-93987.6,13714.8
19434.8,-40721.6
34282.1,48304.8
-44523.2,30304.9
-14627.4,-45018.3
52556.9,-24545.1
52776.9,24516.5
28555.6,44109.8
-536.312,42078.9
-8403.52,13952.5
13701.5,11413.2
490.463,26586.6
-6594.33,-7068.91
49630,-5807.7
45038.5,70131.8
-36572.7,68672
-34650.2,2742.51
3390,21073.1
-44674.7,38748.8
-59538.9,-34165.6
18211.7,-55716.8
43022.5,8025
1962.24,29289.9
-12888.2,13488.1
-23706.7,6395.56
-27626.4,-29494.3
26713.2,-47923.4
61436.1,14751.3
3456.91,65828.6
-58305.7,29143.7
-55713.5,-24987
-35590.8,-49656.2
-15256.9,-75550.2
34364.3,-94069.9
95356.6,-66850.2
121821,0
95356.6,66850.2
34364.3,94069.9
-15256.9,75550.2
-35590.8,49656.2
-55713.5,24987
-58305.7,-29143.7
3456.92,-65828.6
61436.1,-14751.3
26713.2,47923.4
-27626.4,29494.3
-23706.7,-6395.56
-12888.2,-13488.1
1962.24,-29289.9
43022.5,-8025
18211.7,55716.8
-59538.9,34165.6
-44674.7,-38748.8
3390,-21073.1
-34650.2,-2742.51
-36572.7,-68672
45038.5,-70131.8
49630,5807.7
-6594.33,7068.92
490.464,-26586.6
13701.5,-11413.2
-8403.52,-13952.5
-536.313,-42078.9
28555.6,-44109.8
52776.9,-24516.5
52556.9,24545.1
-14627.5,45018.3
-44523.2,-30304.9
34282.1,-48304.8
19434.8,40721.6
-93987.6,-13714.8
-12008.9,-158936
155412,-68597.6
67553.6,101418
-91682.3,17236.1
-13739.6,-129860
124077,-67478.8
87635.8,61714.1
-32064.8,57963
-63946.3,-47317.4
12628.5,-106045
64418.9,-71089.1
55523.7,-75675.2
140176,-108539
240166,23499.7
122346,176562
-18756.7,100916
41889.1,24532.4
57374,105122
-33369.1,93086.7
-2099.61,35522.2
-902.212,108227
-122396,68811.7
-59249,-68776.5
54424.4,34498
-118912,121453
-210533,-119800
53723.1,-239461
190862,-5555.87
13668,120221
-83719.5,-3270.45
-2283.18,-77280.1
62216,-33043.2
54216,27333.9
4770.52,45216.3
-13157.7,13091.8
9703.22,23773.9
-39709.7,55497.2
-87610.4,-20204.2
151.589,-72019.8
44288.5,28454
-69846.7,76757.5
-146475,-26632.5
-96941,-134493
16296,-161997
102811,-65633.8
13398,44169.6
-100954,-67853.2
50065.4,-188047
175818,-5828.63
-19785.9,112726
-114185,-80948.4
65894.4,-139124
84000,19919.2
-50838.1,7260.58
-30239.3,-95608.2
21725.5,-87020.2
23498.2,-100773
89024.2,-103873
96785.4,-26604.4
40261.1,-38448.5
92603.2,-71188.9
110417,13904.4
15736.1,10472.7
56350.4,-86259.8
166493,-11286.7
84737.5,116768
-46913.1,53756.3
-6119.77,-69559.2
119829,-47218.4
127763,100641
-39547.7,156714
-135713,-6691.68
13364.4,-104109
79416.9,50020
-99632.9,89721.3
-138018,-98393.3
17788,-140821
47607.4,-41129.3
-3595.77,-26288.2
-30710.9,-37258.1
-72114,-101752
22440.1,-203959
160976,-105244
75500.5,22488.8
4004.07,-38587.5
28343.9,-9657.97
-138508,-13297.9
-141326,-298613
157262,-294502
8951.87,-80682.4
-180221,-558418
649082,-939035
